"","panel","gene"
"97","Cerebral_vascular_malformations.rds","GMPS"
"98","Cerebral_vascular_malformations.rds","GNA12"
"99","Cerebral_vascular_malformations.rds","GNAO1"
"100","Cerebral_vascular_malformations.rds","GNB1"
"101","Cerebral_vascular_malformations.rds","GNB4"
"102","Cerebral_vascular_malformations.rds","GNG12"
"103","Cerebral_vascular_malformations.rds","GNG2"
"104","Cerebral_vascular_malformations.rds","GRB2"
"105","Cerebral_vascular_malformations.rds","GSK3B"
"106","Cerebral_vascular_malformations.rds","HDAC2"
"107","Cerebral_vascular_malformations.rds","HGF"
"108","Cerebral_vascular_malformations.rds","HNRNPC"
"109","Cerebral_vascular_malformations.rds","HNRNPR"
"110","Cerebral_vascular_malformations.rds","HNRNPUL1"
"111","Cerebral_vascular_malformations.rds","HSPA4"
"112","Cerebral_vascular_malformations.rds","IGF1"
"113","Cerebral_vascular_malformations.rds","IGF1R"
"114","Cerebral_vascular_malformations.rds","INSR"
"115","Cerebral_vascular_malformations.rds","ITCH"
"116","Cerebral_vascular_malformations.rds","ITGA2"
"117","Cerebral_vascular_malformations.rds","ITGA4"
"118","Cerebral_vascular_malformations.rds","ITGA6"
"119","Cerebral_vascular_malformations.rds","ITGAV"
"120","Cerebral_vascular_malformations.rds","ITGB8"
"121","Cerebral_vascular_malformations.rds","ITPR1"
"122","Cerebral_vascular_malformations.rds","ITPR3"
"123","Cerebral_vascular_malformations.rds","ITSN1"
"124","Cerebral_vascular_malformations.rds","JAK1"
"125","Cerebral_vascular_malformations.rds","KCNQ2"
"126","Cerebral_vascular_malformations.rds","KDM2A"
"127","Cerebral_vascular_malformations.rds","KIF11"
"128","Cerebral_vascular_malformations.rds","KIF5A"
"129","Cerebral_vascular_malformations.rds","KIF5B"
"130","Cerebral_vascular_malformations.rds","KIT"
"131","Cerebral_vascular_malformations.rds","LCP2"
"132","Cerebral_vascular_malformations.rds","LEF1"
"133","Cerebral_vascular_malformations.rds","LGR6"
"134","Cerebral_vascular_malformations.rds","LMNA"
"135","Cerebral_vascular_malformations.rds","LRP1"
"136","Cerebral_vascular_malformations.rds","LRP5"
"137","Cerebral_vascular_malformations.rds","LRRK2"
"138","Cerebral_vascular_malformations.rds","LYN"
"139","Cerebral_vascular_malformations.rds","MAP2K1"
"140","Cerebral_vascular_malformations.rds","MAP2K4"
"141","Cerebral_vascular_malformations.rds","MAP3K2"
"142","Cerebral_vascular_malformations.rds","MAPK1"
"143","Cerebral_vascular_malformations.rds","MAPK14"
"144","Cerebral_vascular_malformations.rds","MAPT"
"145","Cerebral_vascular_malformations.rds","MARS"
"146","Cerebral_vascular_malformations.rds","MDM2"
"147","Cerebral_vascular_malformations.rds","MED15"
"148","Cerebral_vascular_malformations.rds","MED24"
"149","Cerebral_vascular_malformations.rds","MEF2C"
"150","Cerebral_vascular_malformations.rds","MEIS1"
"151","Cerebral_vascular_malformations.rds","MEIS2"
"152","Cerebral_vascular_malformations.rds","MMP2"
"153","Cerebral_vascular_malformations.rds","MTOR"
"154","Cerebral_vascular_malformations.rds","MYB"
"155","Cerebral_vascular_malformations.rds","MYBL1"
"156","Cerebral_vascular_malformations.rds","MYBPC1"
"157","Cerebral_vascular_malformations.rds","MYH10"
"158","Cerebral_vascular_malformations.rds","MYH11"
"159","Cerebral_vascular_malformations.rds","MYH14"
"160","Cerebral_vascular_malformations.rds","MYH9"
"161","Cerebral_vascular_malformations.rds","MYO18A"
"162","Cerebral_vascular_malformations.rds","MYO5A"
"163","Cerebral_vascular_malformations.rds","NCAM1"
"164","Cerebral_vascular_malformations.rds","NCBP1"
"165","Cerebral_vascular_malformations.rds","NCOR2"
"166","Cerebral_vascular_malformations.rds","NEURL1B"
"167","Cerebral_vascular_malformations.rds","NF2"
"168","Cerebral_vascular_malformations.rds","NFKB1"
"169","Cerebral_vascular_malformations.rds","NFYC"
"170","Cerebral_vascular_malformations.rds","NGF"
"171","Cerebral_vascular_malformations.rds","NLK"
"172","Cerebral_vascular_malformations.rds","NOTCH2"
"173","Cerebral_vascular_malformations.rds","NR3C1"
"174","Cerebral_vascular_malformations.rds","NR5A2"
"175","Cerebral_vascular_malformations.rds","NUMA1"
"176","Cerebral_vascular_malformations.rds","NUP98"
"177","Cerebral_vascular_malformations.rds","PABPC1"
"178","Cerebral_vascular_malformations.rds","PAK2"
"179","Cerebral_vascular_malformations.rds","PAPOLA"
"180","Cerebral_vascular_malformations.rds","PBRM1"
"181","Cerebral_vascular_malformations.rds","PBX1"
"182","Cerebral_vascular_malformations.rds","PDE9A"
"183","Cerebral_vascular_malformations.rds","PDGFRA"
"184","Cerebral_vascular_malformations.rds","PDGFRB"
"185","Cerebral_vascular_malformations.rds","PIAS1"
"186","Cerebral_vascular_malformations.rds","PIK3CA"
"187","Cerebral_vascular_malformations.rds","PIK3CD"
"188","Cerebral_vascular_malformations.rds","PIK3CG"
"189","Cerebral_vascular_malformations.rds","PIK3R1"
"190","Cerebral_vascular_malformations.rds","PIK3R5"
"191","Cerebral_vascular_malformations.rds","POSTN"
"192","Cerebral_vascular_malformations.rds","POU5F1"
"193","Cerebral_vascular_malformations.rds","PPARD"
"194","Cerebral_vascular_malformations.rds","PPARG"
"195","Cerebral_vascular_malformations.rds","PPP1R12A"
"196","Cerebral_vascular_malformations.rds","PPP2R5A"
"197","Cerebral_vascular_malformations.rds","PPP3CA"
"198","Cerebral_vascular_malformations.rds","PRDM10"
"199","Cerebral_vascular_malformations.rds","PRKAR1B"
"200","Cerebral_vascular_malformations.rds","PRKAR2B"
"201","Cerebral_vascular_malformations.rds","PRKDC"
"202","Cerebral_vascular_malformations.rds","PRKG2"
"203","Cerebral_vascular_malformations.rds","PTEN"
"204","Cerebral_vascular_malformations.rds","PTPN11"
"205","Cerebral_vascular_malformations.rds","RAB11A"
"206","Cerebral_vascular_malformations.rds","RAB1A"
"207","Cerebral_vascular_malformations.rds","RAB7A"
"208","Cerebral_vascular_malformations.rds","RAF1"
"209","Cerebral_vascular_malformations.rds","RALA"
"210","Cerebral_vascular_malformations.rds","RAP1A"
"211","Cerebral_vascular_malformations.rds","RB1"
"212","Cerebral_vascular_malformations.rds","RBPJ"
"213","Cerebral_vascular_malformations.rds","RHEB"
"214","Cerebral_vascular_malformations.rds","RHOA"
"215","Cerebral_vascular_malformations.rds","RPS6KA1"
"216","Cerebral_vascular_malformations.rds","RPS6KB1"
"217","Cerebral_vascular_malformations.rds","RRAS2"
"218","Cerebral_vascular_malformations.rds","RUNX3"
"219","Cerebral_vascular_malformations.rds","RUVBL1"
"220","Cerebral_vascular_malformations.rds","SCN5A"
"221","Cerebral_vascular_malformations.rds","SERPINE2"
"222","Cerebral_vascular_malformations.rds","SF3B1"
"223","Cerebral_vascular_malformations.rds","SH3GLB1"
"224","Cerebral_vascular_malformations.rds","SHOC2"
"225","Cerebral_vascular_malformations.rds","SLC6A3"
"226","Cerebral_vascular_malformations.rds","SMAD2"
"227","Cerebral_vascular_malformations.rds","SMAD5"
"228","Cerebral_vascular_malformations.rds","SMARCA4"
"229","Cerebral_vascular_malformations.rds","SMARCA5"
"230","Cerebral_vascular_malformations.rds","SMARCB1"
"231","Cerebral_vascular_malformations.rds","SMARCC1"
"232","Cerebral_vascular_malformations.rds","SMURF2"
"233","Cerebral_vascular_malformations.rds","SNRPD3"
"234","Cerebral_vascular_malformations.rds","SNRPN"
"235","Cerebral_vascular_malformations.rds","SNW1"
"236","Cerebral_vascular_malformations.rds","SOS1"
"237","Cerebral_vascular_malformations.rds","SOS2"
"238","Cerebral_vascular_malformations.rds","SP1"
"239","Cerebral_vascular_malformations.rds","SPTA1"
"240","Cerebral_vascular_malformations.rds","SPTBN1"
"241","Cerebral_vascular_malformations.rds","SRC"
"242","Cerebral_vascular_malformations.rds","SRSF5"
"243","Cerebral_vascular_malformations.rds","STAT1"
"244","Cerebral_vascular_malformations.rds","STAT3"
"245","Cerebral_vascular_malformations.rds","STAT5B"
"246","Cerebral_vascular_malformations.rds","STAT6"
"247","Cerebral_vascular_malformations.rds","SUPT5H"
"248","Cerebral_vascular_malformations.rds","SYK"
"249","Cerebral_vascular_malformations.rds","TBL1XR1"
"250","Cerebral_vascular_malformations.rds","TBX5"
"251","Cerebral_vascular_malformations.rds","TCF4"
"252","Cerebral_vascular_malformations.rds","TCF7L2"
"253","Cerebral_vascular_malformations.rds","TEK"
"254","Cerebral_vascular_malformations.rds","TFDP1"
"255","Cerebral_vascular_malformations.rds","TLE4"
"256","Cerebral_vascular_malformations.rds","TNS1"
"257","Cerebral_vascular_malformations.rds","TP63"
"258","Cerebral_vascular_malformations.rds","UBE2D1"
"259","Cerebral_vascular_malformations.rds","UBE2D3"
"260","Cerebral_vascular_malformations.rds","UBE3A"
"261","Cerebral_vascular_malformations.rds","UBR4"
"262","Cerebral_vascular_malformations.rds","USP15"
"263","Cerebral_vascular_malformations.rds","USP7"
"264","Cerebral_vascular_malformations.rds","VAV1"
"265","Cerebral_vascular_malformations.rds","VEGFC"
"266","Cerebral_vascular_malformations.rds","VWF"
"267","Cerebral_vascular_malformations.rds","WASL"
"268","Cerebral_vascular_malformations.rds","WDTC1"
"269","Cerebral_vascular_malformations.rds","WNT3"
"270","Cerebral_vascular_malformations.rds","WT1"
"271","Cerebral_vascular_malformations.rds","WWP1"
"272","Cerebral_vascular_malformations.rds","XPO1"
"273","Cerebral_vascular_malformations.rds","XRCC5"
"274","Cerebral_vascular_malformations.rds","XRCC6"
"275","Cerebral_vascular_malformations.rds","XRN1"
"276","Cerebral_vascular_malformations.rds","YAP1"
"277","Cerebral_vascular_malformations.rds","YWHAE"
"278","Congenital_muscular_dystrophy.rds","ABAT"
"279","Congenital_muscular_dystrophy.rds","ABCB9"
"280","Congenital_muscular_dystrophy.rds","ABCC1"
"281","Congenital_muscular_dystrophy.rds","ADGRL2"
"282","Congenital_muscular_dystrophy.rds","AFF3"
"283","Congenital_muscular_dystrophy.rds","APLP2"
"284","Congenital_muscular_dystrophy.rds","APP"
"285","Congenital_muscular_dystrophy.rds","ARHGEF28"
"286","Congenital_muscular_dystrophy.rds","ARHGEF40"
"287","Congenital_muscular_dystrophy.rds","ATP13A2"
"288","Congenital_muscular_dystrophy.rds","BAZ2B"
"289","Congenital_muscular_dystrophy.rds","BBS9"
"290","Congenital_muscular_dystrophy.rds","BRF1"
"291","Congenital_muscular_dystrophy.rds","BSDC1"
"292","Congenital_muscular_dystrophy.rds","C2orf92"
"293","Congenital_muscular_dystrophy.rds","CACNB2"
"294","Congenital_muscular_dystrophy.rds","CAPN10"
"295","Congenital_muscular_dystrophy.rds","CAPN3"
"296","Congenital_muscular_dystrophy.rds","CDK14"
"297","Congenital_muscular_dystrophy.rds","CLN3"
"298","Congenital_muscular_dystrophy.rds","COL16A1"
"299","Congenital_muscular_dystrophy.rds","COL4A4"
"300","Congenital_muscular_dystrophy.rds","COL7A1"
"301","Congenital_muscular_dystrophy.rds","CPLANE1"
"302","Congenital_muscular_dystrophy.rds","DCTN1"
"303","Congenital_muscular_dystrophy.rds","DNMT1"
"304","Congenital_muscular_dystrophy.rds","DPP4"
"305","Congenital_muscular_dystrophy.rds","DPP6"
"306","Congenital_muscular_dystrophy.rds","DROSHA"
"307","Congenital_muscular_dystrophy.rds","EIF2B5"
"308","Congenital_muscular_dystrophy.rds","EPB41L1"
"309","Congenital_muscular_dystrophy.rds","EPB41L5"
"310","Congenital_muscular_dystrophy.rds","EPG5"
"311","Congenital_muscular_dystrophy.rds","ERBB3"
"312","Congenital_muscular_dystrophy.rds","ESRRG"
"313","Congenital_muscular_dystrophy.rds","EXOC4"
"314","Congenital_muscular_dystrophy.rds","EXOC7"
"315","Congenital_muscular_dystrophy.rds","EXOSC10"
"316","Congenital_muscular_dystrophy.rds","EYS"
"317","Congenital_muscular_dystrophy.rds","FAM153A"
"318","Congenital_muscular_dystrophy.rds","FARP1"
"319","Congenital_muscular_dystrophy.rds","FGFR1"
"320","Congenital_muscular_dystrophy.rds","FGFR2"
"321","Congenital_muscular_dystrophy.rds","GAK"
"322","Congenital_muscular_dystrophy.rds","GANAB"
"323","Congenital_muscular_dystrophy.rds","GLB1"
"324","Congenital_muscular_dystrophy.rds","GRB10"
"325","Congenital_muscular_dystrophy.rds","ICA1"
"326","Congenital_muscular_dystrophy.rds","IST1"
"327","Congenital_muscular_dystrophy.rds","ITGB2"
"328","Congenital_muscular_dystrophy.rds","KDM5B"
"329","Congenital_muscular_dystrophy.rds","KIAA1841"
"330","Congenital_muscular_dystrophy.rds","KSR1"
"331","Congenital_muscular_dystrophy.rds","MED15"
"332","Congenital_muscular_dystrophy.rds","MICAL2"
"333","Congenital_muscular_dystrophy.rds","MYH3"
"334","Congenital_muscular_dystrophy.rds","MYO15A"
"335","Congenital_muscular_dystrophy.rds","MYO6"
"336","Congenital_muscular_dystrophy.rds","MYO9A"
"337","Congenital_muscular_dystrophy.rds","NCOR1"
"338","Congenital_muscular_dystrophy.rds","NLRC5"
"339","Congenital_muscular_dystrophy.rds","NPIPB4"
"340","Congenital_muscular_dystrophy.rds","NRP2"
"341","Congenital_muscular_dystrophy.rds","NTRK1"
"342","Congenital_muscular_dystrophy.rds","OBSCN"
"343","Congenital_muscular_dystrophy.rds","OTOG"
"344","Congenital_muscular_dystrophy.rds","PDE4C"
"345","Congenital_muscular_dystrophy.rds","PDE9A"
"346","Congenital_muscular_dystrophy.rds","PEX1"
"347","Congenital_muscular_dystrophy.rds","PEX5"
"348","Congenital_muscular_dystrophy.rds","PFKFB3"
"349","Congenital_muscular_dystrophy.rds","PLEC"
"350","Congenital_muscular_dystrophy.rds","PLOD1"
"351","Congenital_muscular_dystrophy.rds","POGZ"
"352","Congenital_muscular_dystrophy.rds","POSTN"
"353","Congenital_muscular_dystrophy.rds","PRKAG1"
"354","Congenital_muscular_dystrophy.rds","PRPF40B"
"355","Congenital_muscular_dystrophy.rds","PTCH1"
"356","Congenital_muscular_dystrophy.rds","PTK7"
"357","Congenital_muscular_dystrophy.rds","PTPN3"
"358","Congenital_muscular_dystrophy.rds","PTPRR"
"359","Congenital_muscular_dystrophy.rds","RALGAPA2"
"360","Congenital_muscular_dystrophy.rds","RNF213"
"361","Congenital_muscular_dystrophy.rds","RYR3"
"362","Congenital_muscular_dystrophy.rds","SCN11A"
"363","Congenital_muscular_dystrophy.rds","SCN9A"
"364","Congenital_muscular_dystrophy.rds","SETD5"
"365","Congenital_muscular_dystrophy.rds","SHANK2"
"366","Congenital_muscular_dystrophy.rds","SLC12A6"
"367","Congenital_muscular_dystrophy.rds","SLC26A9"
"368","Congenital_muscular_dystrophy.rds","SLC2A14"
"369","Congenital_muscular_dystrophy.rds","SLC3A2"
"370","Congenital_muscular_dystrophy.rds","SNAP91"
"371","Congenital_muscular_dystrophy.rds","ST3GAL4"
"372","Congenital_muscular_dystrophy.rds","STARD9"
"373","Congenital_muscular_dystrophy.rds","SUPT20H"
"374","Congenital_muscular_dystrophy.rds","SYBU"
"375","Congenital_muscular_dystrophy.rds","SZT2"
"376","Congenital_muscular_dystrophy.rds","TECPR1"
"377","Congenital_muscular_dystrophy.rds","TNNT1"
"378","Congenital_muscular_dystrophy.rds","TNNT2"
"379","Congenital_muscular_dystrophy.rds","TPCN1"
"380","Congenital_muscular_dystrophy.rds","TRANK1"
"381","Congenital_muscular_dystrophy.rds","TRAPPC9"
"382","Congenital_muscular_dystrophy.rds","TSC2"
"383","Congenital_muscular_dystrophy.rds","WWP2"
"384","Congenital_myopathy.rds","ABCA4"
"385","Congenital_myopathy.rds","ABCC5"
"386","Congenital_myopathy.rds","ABCC8"
"387","Congenital_myopathy.rds","ABCC9"
"388","Congenital_myopathy.rds","ABCF1"
"389","Congenital_myopathy.rds","ABCF2"
"390","Congenital_myopathy.rds","ABLIM2"
"391","Congenital_myopathy.rds","ABRA"
"392","Congenital_myopathy.rds","ACACB"
"393","Congenital_myopathy.rds","ACADM"
"394","Congenital_myopathy.rds","ACAT1"
"395","Congenital_myopathy.rds","ACTB"
"396","Congenital_myopathy.rds","ACTG1"
"397","Congenital_myopathy.rds","ACTN2"
"398","Congenital_myopathy.rds","ACTN3"
"399","Congenital_myopathy.rds","ACTN4"
"400","Congenital_myopathy.rds","ACVR1"
"401","Congenital_myopathy.rds","ACVRL1"
"402","Congenital_myopathy.rds","ADCY6"
"403","Congenital_myopathy.rds","ADCY9"
"404","Congenital_myopathy.rds","AGL"
"405","Congenital_myopathy.rds","AK1"
"406","Congenital_myopathy.rds","ALDOA"
"407","Congenital_myopathy.rds","AMOTL1"
"408","Congenital_myopathy.rds","AMPD1"
"409","Congenital_myopathy.rds","AMPD3"
"410","Congenital_myopathy.rds","ANK1"
"411","Congenital_myopathy.rds","ANKRD2"
"412","Congenital_myopathy.rds","ANKRD9"
"413","Congenital_myopathy.rds","APLP1"
"414","Congenital_myopathy.rds","APLP2"
"415","Congenital_myopathy.rds","APOBEC2"
"416","Congenital_myopathy.rds","APP"
"417","Congenital_myopathy.rds","ASH1L"
"418","Congenital_myopathy.rds","ATP1A1"
"419","Congenital_myopathy.rds","ATP1A2"
"420","Congenital_myopathy.rds","ATP2A1"
"421","Congenital_myopathy.rds","ATP2A3"
"422","Congenital_myopathy.rds","ATP2B1"
"423","Congenital_myopathy.rds","ATP2B2"
"424","Congenital_myopathy.rds","ATP2B4"
"425","Congenital_myopathy.rds","BAG3"
"426","Congenital_myopathy.rds","BEST3"
"427","Congenital_myopathy.rds","BOD1"
"428","Congenital_myopathy.rds","BRCA1"
"429","Congenital_myopathy.rds","BRCA2"
"430","Congenital_myopathy.rds","BZW2"
"431","Congenital_myopathy.rds","CACNA1A"
"432","Congenital_myopathy.rds","CACNA1C"
"433","Congenital_myopathy.rds","CACNA1D"
"434","Congenital_myopathy.rds","CACNA1F"
"435","Congenital_myopathy.rds","CACNA1H"
"436","Congenital_myopathy.rds","CACNA1I"
"437","Congenital_myopathy.rds","CALML6"
"438","Congenital_myopathy.rds","CAPN3"
"439","Congenital_myopathy.rds","CASR"
"440","Congenital_myopathy.rds","CASZ1"
"441","Congenital_myopathy.rds","CATSPER1"
"442","Congenital_myopathy.rds","CAV3"
"443","Congenital_myopathy.rds","CAVIN4"
"444","Congenital_myopathy.rds","CBS"
"445","Congenital_myopathy.rds","CDKN1A"
"446","Congenital_myopathy.rds","CDV3"
"447","Congenital_myopathy.rds","CFTR"
"448","Congenital_myopathy.rds","CHD3"
"449","Congenital_myopathy.rds","CHRNA1"
"450","Congenital_myopathy.rds","CHRND"
"451","Congenital_myopathy.rds","CHRNG"
"452","Congenital_myopathy.rds","CLCNKB"
"453","Congenital_myopathy.rds","CLIP4"
"454","Congenital_myopathy.rds","CNBP"
"455","Congenital_myopathy.rds","COL11A1"
"456","Congenital_myopathy.rds","COL11A2"
"457","Congenital_myopathy.rds","COL13A1"
"458","Congenital_myopathy.rds","COL15A1"
"459","Congenital_myopathy.rds","COL16A1"
"460","Congenital_myopathy.rds","COL17A1"
"461","Congenital_myopathy.rds","COL19A1"
"462","Congenital_myopathy.rds","COL1A1"
"463","Congenital_myopathy.rds","COL1A2"
"464","Congenital_myopathy.rds","COL21A1"
"465","Congenital_myopathy.rds","COL22A1"
"466","Congenital_myopathy.rds","COL27A1"
"467","Congenital_myopathy.rds","COL2A1"
"468","Congenital_myopathy.rds","COL3A1"
"469","Congenital_myopathy.rds","COL4A1"
"470","Congenital_myopathy.rds","COL4A2"
"471","Congenital_myopathy.rds","COL4A3"
"472","Congenital_myopathy.rds","COL4A4"
"473","Congenital_myopathy.rds","COL5A1"
"474","Congenital_myopathy.rds","COL5A2"
"475","Congenital_myopathy.rds","COL5A3"
"476","Congenital_myopathy.rds","COL6A6"
"477","Congenital_myopathy.rds","COL7A1"
"478","Congenital_myopathy.rds","COL8A1"
"479","Congenital_myopathy.rds","COL9A1"
"480","Congenital_myopathy.rds","COX5A"
"481","Congenital_myopathy.rds","CPS1"
"482","Congenital_myopathy.rds","CRAT"
"483","Congenital_myopathy.rds","CREBBP"
"484","Congenital_myopathy.rds","CS"
"485","Congenital_myopathy.rds","CSDE1"
"486","Congenital_myopathy.rds","CTBP2"
"487","Congenital_myopathy.rds","CYC1"
"488","Congenital_myopathy.rds","DAG1"
"489","Congenital_myopathy.rds","DAXX"
"490","Congenital_myopathy.rds","DCTN1"
"491","Congenital_myopathy.rds","DDX1"
"492","Congenital_myopathy.rds","DES"
"493","Congenital_myopathy.rds","DIAPH1"
"494","Congenital_myopathy.rds","DNAJB5"
"495","Congenital_myopathy.rds","DNM1"
"496","Congenital_myopathy.rds","DNM1L"
"497","Congenital_myopathy.rds","DNMT3B"
"498","Congenital_myopathy.rds","DPH2"
"499","Congenital_myopathy.rds","DUSP13"
"500","Congenital_myopathy.rds","DUSP26"
"501","Congenital_myopathy.rds","DVL1"
"502","Congenital_myopathy.rds","E2F6"
"503","Congenital_myopathy.rds","EGF"
"504","Congenital_myopathy.rds","EGFR"
"505","Congenital_myopathy.rds","EIF2B3"
"506","Congenital_myopathy.rds","EIF4G1"
"507","Congenital_myopathy.rds","EP300"
"508","Congenital_myopathy.rds","EPB41"
"509","Congenital_myopathy.rds","ERBB2"
"510","Congenital_myopathy.rds","ERC1"
"511","Congenital_myopathy.rds","ESR1"
"512","Congenital_myopathy.rds","ESRRA"
"513","Congenital_myopathy.rds","EXOC4"
"514","Congenital_myopathy.rds","EXOSC10"
"515","Congenital_myopathy.rds","EXT2"
"516","Congenital_myopathy.rds","EYA1"
"517","Congenital_myopathy.rds","EYA4"
"518","Congenital_myopathy.rds","F5"
"519","Congenital_myopathy.rds","FBLN1"
"520","Congenital_myopathy.rds","FBLN2"
"521","Congenital_myopathy.rds","FBN1"
"522","Congenital_myopathy.rds","FBN2"
"523","Congenital_myopathy.rds","FBN3"
"524","Congenital_myopathy.rds","FGFR1"
"525","Congenital_myopathy.rds","FGFR2"
"526","Congenital_myopathy.rds","FGFR3"
"527","Congenital_myopathy.rds","FGFR4"
"528","Congenital_myopathy.rds","FGGY"
"529","Congenital_myopathy.rds","FHL3"
"530","Congenital_myopathy.rds","FILIP1"
"531","Congenital_myopathy.rds","FKBP5"
"532","Congenital_myopathy.rds","FLII"
"533","Congenital_myopathy.rds","FLNB"
"534","Congenital_myopathy.rds","FLNC"
"535","Congenital_myopathy.rds","FNDC5"
"536","Congenital_myopathy.rds","FOXM1"
"537","Congenital_myopathy.rds","FOXO1"
"538","Congenital_myopathy.rds","FOXO3"
"539","Congenital_myopathy.rds","G6PD"
"540","Congenital_myopathy.rds","GADD45A"
"541","Congenital_myopathy.rds","GAPDH"
"542","Congenital_myopathy.rds","GATA2"
